# STAR             = HIP114971
# RA(ICRS, deg)    = 349.29141
# Dec(ICRS, deg)   = 3.2822883
# pmRA  (mas/yr)   = 759.820
# pmDec (mas/yr)   = 17.7700
# parallax (mas)   = 23.6400
# Vrad  (km/s)     = -14480.0
# Vtemplate (km/s) = -43132.0
# -------------------------------------------------------------------------------------------------------------------------------------- 
#           Filename                         JD_MID               BJD_MID           RV_raw        RV_bvc     Sigma1    Sigma2    Flux   
#                                            [days]                [days]            [m/s]         [m/s]      [m/s]     [m/s]    [ADU]  
# -------------------------------------------------------------------------------------------------------------------------------------- 
s1_2019-05-15T04-55-12_ext.ooo        2458618.7060240000  2458618.7041238206     -40010.05     -13961.71    110.70      5.62    9300.3
s1_2019-05-15T04-58-13_ext.ooo        2458618.7081125998  2458618.7062126021     -40013.06     -13967.03    109.21      5.13    9156.5
s1_2019-05-15T05-01-15_ext.ooo        2458618.7102235002  2458618.7083236859     -40008.43     -13964.79    121.66      5.14    9204.0
s1_2019-05-19T04-06-59_ext.ooo        2458622.6725375000  2458622.6709831455     -40916.16     -13995.17    125.27      6.25    7051.0
s1_2019-05-19T04-10-00_ext.ooo        2458622.6746259001  2458622.6730717332     -40915.30     -13996.00    119.25      5.68    7027.4
s1_2019-05-19T04-13-00_ext.ooo        2458622.6767107002  2458622.6751567204     -40914.00     -13996.45    112.06      5.68    7122.6
s1_2019-05-20T04-21-29_ext.ooo        2458623.6826012000  2458623.6811366617     -41093.78     -13988.91    105.56      4.48    9460.7
s1_2019-05-20T04-24-29_ext.ooo        2458623.6846885001  2458623.6832241509     -41084.48     -13981.70    102.96      4.44    9308.7
s1_2019-05-20T04-27-30_ext.ooo        2458623.6867796001  2458623.6853154399     -41081.25     -13980.64    105.66      4.43    9656.8
s1_2019-05-21T03-56-19_ext.ooo        2458624.6651305999  2458624.6637540241     -41298.99     -13992.89    112.71      4.86    6903.0
s1_2019-05-21T03-59-20_ext.ooo        2458624.6672179000  2458624.6658415142     -41300.02     -13995.58    117.72      5.11    7325.0
s1_2019-05-21T04-02-20_ext.ooo        2458624.6693084999  2458624.6679323046     -41307.64     -14004.93    122.07      5.68    6432.0
s1_2019-05-22T03-37-41_ext.ooo        2458625.6521836999  2458625.6508960971     -41462.72     -13968.31    117.74      5.44    6615.4
s1_2019-05-22T03-40-42_ext.ooo        2458625.6542819999  2458625.6529945894     -41463.55     -13970.49    128.18      5.98    6763.1
s1_2019-05-22T03-43-43_ext.ooo        2458625.6563827000  2458625.6550954822     -41458.38     -13966.75    119.09      5.32    7099.7
s1_2019-05-23T03-57-47_ext.ooo        2458626.6661497001  2458626.6649541329     -41628.70     -13973.12    127.89      6.03    7200.1
s1_2019-05-23T04-00-49_ext.ooo        2458626.6682567000  2458626.6670613275     -41625.95     -13972.27    122.61      5.82    7235.6
s1_2019-05-23T04-03-50_ext.ooo        2458626.6703426000  2458626.6691474197     -41622.27     -13970.55    115.90      5.62    7316.8
s1_2019-05-24T03-31-09_ext.ooo        2458627.6476524998  2458627.6465465389     -41814.43     -13980.20    124.93      6.50    5104.3
s1_2019-05-24T03-34-10_ext.ooo        2458627.6497400999  2458627.6486343327     -41812.93     -13980.11    151.49      7.82    4466.3
s1_2019-05-24T03-37-10_ext.ooo        2458627.6518263002  2458627.6507207267     -41817.01     -13985.66    131.50      6.88    5098.1
s1_2019-05-25T04-16-43_ext.ooo        2458628.6792982998  2458628.6782871513     -41955.22     -13993.69    120.85      5.57    7868.6
s1_2019-05-25T04-19-44_ext.ooo        2458628.6813869998  2458628.6803760459     -41952.99     -13993.94    107.49      5.28    7927.3
s1_2019-05-25T04-22-44_ext.ooo        2458628.6834733002  2458628.6824625409     -41953.36     -13996.85    109.65      4.98    8340.7
s1_2019-05-26T03-37-02_ext.ooo        2458629.6517408998  2458629.6508195577     -42127.50     -13990.01    122.53      5.56    7269.2
s1_2019-05-26T03-40-04_ext.ooo        2458629.6538463999  2458629.6529252552     -42113.23     -13977.50    119.46      5.32    7644.4
